id,Category,Ambiguity,Cas_No,CAS,Chemical_Formula,Molar_Mass,Chemical_Name,IUPAC_name,Alt_Chem_Name,Acronym,Alt_Acronym,INCHIKEY,DTXSID,DTXCID,SMILES,SMILES_CAN,INCHI_STRING,Note
chem0111,Alkane,NA,111-65-9,111659,C8H18,114.232,Octane,Octane,NA,NA,NA,TVMXDCGIABBOFY-UHFFFAOYSA-N,DTXSID0026882,DTXCID406882,CCCCCCCC,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",NA
chem0112,Alkene,NA,111-66-0,111660,C8H16,112.216,1-Octene,Oct-1-ene,Octene,NA,NA,KWKAKUADMBZCLK-UHFFFAOYSA-N,DTXSID6025804,DTXCID705804,CCCCCCC=C,CCCCCCC=C,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",NA
chem0113,Alcohol,NA,111-87-5,111875,C8H18O,130.231,Octanol,Octan-1-ol,1-Octanol,NA,NA,KBPLFHHGFOOTCA-UHFFFAOYSA-N,DTXSID7021940,DTXCID101940,CCCCCCCCO,CCCCCCCCO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",NA
chem0114,Alkane,NA,112-95-8,112958,C20H42,282.556,Eicosane,Icosane,NA,NA,NA,CBFCDTFDPHXCNY-UHFFFAOYSA-N,DTXSID1025227,DTXCID305227,CCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCC,"InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3",NA
chem0115,Ether,NA,115-10-6,115106,C2H6O,46.069,Methyl ether,Methoxymethane,Dimethyl ether,NA,NA,LCGLNKUTAGEVQW-UHFFFAOYSA-N,DTXSID8026937,DTXCID106937,COC,COC,InChI=1S/C2H6O/c1-3-2/h1-2H3,NA
chem0116,Organophosphate,NA,115-86-6,115866,C18H15O4P,326.288,Triphenyl phosphate,Triphenyl phosphate,NA,TPP,TPhP,XZZNDPSIHUTMOC-UHFFFAOYSA-N,DTXSID1021952,DTXCID201952,O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H",NA
chem0117,Organophosphate,NA,115-96-8,115968,C6H12Cl3O4P,285.48,Tris(2-chloroethyl) phosphate,Tris(2-chloroethyl) phosphate,NA,TCEP,NA,HQUQLFOMPYWACS-UHFFFAOYSA-N,DTXSID5021411,DTXCID601411,ClCCOP(=O)(OCCCl)OCCCl,ClCCOP(=O)(OCCCl)OCCCl,"InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2",NA
chem0118,Phthalate,NA,117-81-7,117817,C24H38O4,390.564,Di(2-ethylhexyl) phthalate,"Bis(2-ethylhexyl) benzene-1,2-dicarboxylate","Bis(2-ethylhexyl) 1,2-benzenedicarboxylate",DEHP,NA,BJQHLKABXJIVAM-UHFFFAOYSA-N,DTXSID5020607,DTXCID70607,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,"InChI=1/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",NA
chem0119,Phthalate,NA,117-84-0,117840,C24H38O4,390.564,Di-n-octyl phthalate,"Dioctyl benzene-1,2-dicarboxylate",NA,DOP,NA,MQIUGAXCHLFZKX-UHFFFAOYSA-N,DTXSID1021956,DTXCID801956,CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,"InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3",NA
chem0120,CB,NA,118-74-1,118741,C6Cl6,284.77,Hexachlorobenzene,Hexachlorobenzene,NA,HCB,NA,CKAPSXZOOQJIBF-UHFFFAOYSA-N,DTXSID2020682,DTXCID80682,ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,NA
chem0121,PAH,NA,120-12-7,120127,C14H10,178.234,Anthracene,Anthracene,NA,NA,NA,MWPLVEDNUUSJAV-UHFFFAOYSA-N,DTXSID0023878,DTXCID203878,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,c1ccc2c(c1)cc1c(c2)cccc1,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,NA
chem0122,Ketone,NA,120-92-3,120923,C5H8O,84.118,Cyclopentanone,Cyclopentanone,NA,NA,NA,BGTOWKSIORTVQH-UHFFFAOYSA-N,DTXSID3029154,DTXCID209154,O=C1CCCC1,O=C1CCCC1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,NA
